관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,북구 본촌동 772-2,,1,200만,360도,30일,2024,35.220667,126.8799,2025-12-31
광주광역시 사회재난과,북구 본촌동 772-2,,1,200만,360도,30일,2018,35.220667,126.8799,2025-12-31
광주광역시 사회재난과,북구 본촌동 772-2,,1,200만,360도,30일,2022,35.220667,126.8799,2025-12-31
광주광역시 사회재난과,북구 북동 25-18,,1,200만,360도,30일,2024,35.155541,126.912162,2025-12-31
광주광역시 사회재난과,북구 북동 25-18,,1,200만,360도,30일,2022,35.155541,126.912162,2025-12-31
광주광역시 사회재난과,북구 북동 25-18,,1,200만,360도,30일,2022,35.155541,126.912162,2025-12-31
광주광역시 사회재난과,북구 북동 90-6,북구 금재로73번길 38,2,200만,360도,30일,2022,35.157387,126.909859,2025-12-31
광주광역시 사회재난과,북구 북동 90-6,북구 금재로73번길 38,1,200만,360도,30일,2024,35.157387,126.909859,2025-12-31
광주광역시 사회재난과,북구 북동 92-41,북구 금재로36번길 19,3,200만,360도,30일,2021,35.156366,126.908531,2025-12-31
광주광역시 사회재난과,북구 북동 92-41,북구 금재로36번길 19,1,200만,360도,30일,2023,35.156366,126.908531,2025-12-31
광주광역시 사회재난과,북구 삼각동 546-2,,1,200만,360도,30일,2022,35.194906,126.898077,2025-12-31
광주광역시 사회재난과,북구 삼각동 546-2,,1,200만,360도,30일,2024,35.194906,126.898077,2025-12-31
광주광역시 사회재난과,북구 삼각동 755-49,북구 설죽로370번길 33,2,200만,360도,30일,2021,35.193834,126.902203,2025-12-31
광주광역시 사회재난과,북구 삼각동 755-49,북구 설죽로370번길 33,1,200만,360도,30일,2024,35.193834,126.902203,2025-12-31
광주광역시 사회재난과,북구 삼각동 817-9,북구 우치로383번길 6,2,200만,360도,30일,2010,35.198701,126.902726,2025-12-31
광주광역시 사회재난과,북구 삼각동 817-9,북구 우치로383번길 6,1,200만,360도,30일,2019,35.198701,126.902726,2025-12-31
광주광역시 사회재난과,북구 수곡동 521-22,,2,200만,360도,30일,2021,35.24594,126.91921,2025-12-31
광주광역시 사회재난과,북구 수곡동 521-22,,1,200만,360도,30일,2022,35.24594,126.91921,2025-12-31
광주광역시 사회재난과,북구 신안동 234-5,북구 들재매길 101,2,200만,360도,30일,2019,35.168666,126.899636,2025-12-31
광주광역시 사회재난과,북구 신안동 234-5,북구 들재매길 101,1,200만,360도,30일,2022,35.168666,126.899636,2025-12-31
광주광역시 사회재난과,북구 신안동 234-5,북구 들재매길 101,1,200만,360도,30일,2023,35.168666,126.899636,2025-12-31
광주광역시 사회재난과,북구 신안동 239-37,북구 서암대로208번길 34,1,200만,360도,30일,2014,35.167609,126.904796,2025-12-31
광주광역시 사회재난과,북구 신안동 239-37,북구 서암대로208번길 34,1,200만,360도,30일,2022,35.167609,126.904796,2025-12-31
광주광역시 사회재난과,북구 신안동 239-37,북구 서암대로208번길 34,1,200만,360도,30일,2024,35.167609,126.904796,2025-12-31
광주광역시 사회재난과,북구 신안동 257-19,북구 신임로32번길 11,2,200만,360도,30일,2018,35.166202,126.899277,2025-12-31
광주광역시 사회재난과,북구 신안동 257-19,북구 신임로32번길 11,1,200만,360도,30일,2023,35.166202,126.899277,2025-12-31
광주광역시 사회재난과,북구 신안동 478-29,북구 서양로 16,1,200만,360도,30일,2022,35.171124,126.903078,2025-12-31
광주광역시 사회재난과,북구 신안동 478-29,북구 서양로 16,1,200만,360도,30일,2023,35.171124,126.903078,2025-12-31
광주광역시 사회재난과,북구 신안동 480-5,북구 서암대로159번길 9,2,200만,360도,30일,2020,35.169913,126.901805,2025-12-31
광주광역시 사회재난과,북구 신안동 482-1,북구 설죽로126번길 26,2,200만,360도,30일,2019,35.171137,126.897829,2025-12-31
광주광역시 사회재난과,북구 신안동 482-1,북구 설죽로126번길 26,1,200만,360도,30일,2022,35.171137,126.897829,2025-12-31
광주광역시 사회재난과,북구 신안동 482-1,북구 설죽로126번길 26,1,200만,360도,30일,2024,35.171137,126.897829,2025-12-31
광주광역시 사회재난과,북구 신안동 650-17,북구 무등로111번길 7,2,200만,360도,30일,2018,35.168125,126.896496,2025-12-31
광주광역시 사회재난과,북구 신안동 650-17,북구 무등로111번길 7,1,200만,360도,30일,2024,35.168125,126.896496,2025-12-31
광주광역시 사회재난과,북구 유동 117-1,,2,200만,360도,30일,2021,35.161628,126.904888,2025-12-31
광주광역시 사회재난과,북구 신안동 764-46,북구 무등로81번길 14,2,200만,360도,30일,2022,35.169117,126.893381,2025-12-31
광주광역시 사회재난과,북구 신안동 764-46,북구 무등로81번길 14,1,200만,360도,30일,2024,35.169117,126.893381,2025-12-31
광주광역시 사회재난과,북구 양산동 1082,북구 연양로117번길 1,1,200만,360도,30일,2020,35.20604,126.880367,2025-12-31
